DATE,LOAN
28-01-2004,1750584.176
28-02-2004,1445064.176
28-03-2004,2480184.176
28-04-2004,2922504.176
28-05-2004,2886024.176
28-06-2004,3501624.176
28-07-2004,1613784.176
28-08-2004,2728024.176
28-09-2004,2018064.176
30-10-2004,4417224.176
28-11-2004,2682104.176
28-12-2004,3506024.176
28-01-2005,4672717.776
28-02-2005,4448344.176
28-03-2005,6180864.176
28-04-2005,6771197.376
28-05-2005,7385624.176
28-06-2005,7371424.176
28-07-2005,4497384.176
28-08-2005,6490304.176
28-09-2005,7718024.176
28-10-2005,10970084.18
28-11-2005,5678504.176
28-12-2005,13282330.98
28-01-2006,9624904.176
28-02-2006,13236344.18
28-03-2006,15906584.18
28-04-2006,17135397.78
28-05-2006,15089330.58
28-06-2006,14954737.38
28-07-2006,13178944.18
28-08-2006,17279244.18
28-09-2006,20317577.38
28-10-2006,16523344.18
28-11-2006,13505704.18
28-12-2006,22310384.18
28-01-2007,14551104.18
28-02-2007,18581337.38
28-03-2007,21757044.18
28-04-2007,26349044.18
28-05-2007,25480294.18
28-06-2007,25216044.18
28-07-2007,18774960.98
28-08-2007,28641544.18
28-09-2007,34156794.18
28-10-2007,17845544.18
28-11-2007,29941794.18
28-12-2007,28473794.18
28-01-2008,27237544.18
28-02-2008,29938294.18
28-03-2008,34129544.18
28-04-2008,38927044.18
28-05-2008,34965044.18
28-06-2008,36704044.18
28-07-2008,28968794.18
28-08-2008,42027794.18
28-09-2008,42278794.18
28-10-2008,28843794.18
28-11-2008,39718544.18
28-12-2008,23782544.18
28-01-2009,31411544.18
28-02-2009,34320544.18
28-03-2009,40045045.38
28-04-2009,39255044.18
28-05-2009,40592044.18
28-06-2009,36087044.18
28-07-2009,34964044.18
28-08-2009,43426794.18
28-09-2009,30237294.18
28-10-2009,36468044.18
28-11-2009,43597544.18
28-12-2009,31074044.18
28-01-2010,38886544.18
28-02-2010,39879794.18
28-03-2010,42748294.18
28-04-2010,45595044.18
28-05-2010,47230044.18
28-06-2010,44974404.18
28-07-2010,38101044.18
28-08-2010,54923544.18
28-09-2010,28574294.18
28-10-2010,51708544.18
28-11-2010,43284294.18
28-12-2010,52579044.18
28-01-2011,52483294.18
28-02-2011,51082544.18
28-03-2011,57457544.18
28-04-2011,60001544.18
28-05-2011,68950294.18
28-06-2011,62738794.18
28-07-2011,51245544.18
28-08-2011,60901044.18
28-09-2011,46660044.18
28-10-2011,71816294.18
28-11-2011,51974294.18
28-12-2011,68370294.18
28-01-2012,66479794.18
28-02-2012,72221544.18
28-03-2012,78293044.18
28-04-2012,86852294.18
28-05-2012,84017544.18
28-06-2012,79297544.18
28-07-2012,80534544.18
28-08-2012,51989044.18
28-09-2012,79904294.18
28-10-2012,84179794.18
28-11-2012,69383044.18
28-12-2012,81465044.18
28-01-2013,87201044.18
28-02-2013,81524544.18
28-03-2013,77132794.18
28-04-2013,95197044.18
28-05-2013,91712544.18
28-06-2013,102225794.2
28-07-2013,92163044.18
28-08-2013,54238044.18
28-09-2013,100749794.2
28-10-2013,72986794.18
28-11-2013,96966794.18
28-12-2013,91740294.18
28-01-2014,95016294.18
28-02-2014,97697294.18
28-03-2014,90926794.18
28-04-2014,108436794.2
28-05-2014,105659544.2
28-06-2014,115538169.4
28-07-2014,80672544.18
28-08-2014,62931794.18
28-09-2014,117404544.2
28-10-2014,65415294.18
28-11-2014,117197294.2
28-12-2014,111228044.2
28-01-2015,106906044.2
28-02-2015,115021044.2
28-03-2015,118682544.2
28-04-2015,121253294.2
28-05-2015,131773794.2
28-06-2015,149862048.6
28-07-2015,64828544.18
28-08-2015,101239544.2
28-09-2015,117536044.2
28-10-2015,87978794.18
28-11-2015,136276294.2
28-12-2015,134339294.2
28-01-2016,130868044.2
28-02-2016,136971294.2
28-03-2016,150729294.2
28-04-2016,152533044.2
28-05-2016,174595294.2
28-06-2016,201092294.2
28-07-2016,68739794.18
28-08-2016,178369044.2
28-09-2016,155745044.2
28-10-2016,211505044.6
28-11-2016,265050804.2
28-12-2016,249220919.4
28-01-2017,236339169.4
28-02-2017,224618794.2
28-03-2017,233255919.4
28-04-2017,224572294.2
28-05-2017,247269252.6
28-06-2017,181505544.2
28-07-2017,182222294.2
28-08-2017,262292669.4
28-09-2017,160672294.6
28-10-2017,235836294.2
28-11-2017,245615794.2
28-12-2017,247055794.2
28-01-2018,247363919.4
28-02-2018,228656044.2
28-03-2018,245004794.6
28-04-2018,262113169.4
28-05-2018,283478794.2
28-06-2018,168028794.2
28-07-2018,192682794.2
28-08-2018,193041920.2
28-09-2018,193357294.6
28-10-2018,218385794.2
28-11-2018,233852044.2
28-12-2018,235150844.2
28-01-2019,250171919.8
28-02-2019,241213219.4
28-03-2019,264565544.2
28-04-2019,335089794.2
28-05-2019,331858044.2
28-06-2019,164250744.6
28-07-2019,248857545
28-08-2019,165321044.2
28-09-2019,260472294.2
28-10-2019,245721794.2
28-11-2019,258254294.2
28-12-2019,262254294.2
