YEAR,MONTH,TLOAN
2004,1,45600
2004,1,114000
2004,1,34200
2004,1,57000
2004,2,57000
2004,2,68400
2004,2,34200
2004,3,57000
2004,3,114000
2004,3,57000
2004,4,91200
2004,4,34200
2004,4,57000
2004,4,34200
2004,5,57000
2004,5,34200
2004,5,34200
2004,6,57000
2004,6,57000
2004,6,57000
2004,7,57000
2004,7,57000
2004,7,57000
2004,7,45600
2004,8,57000
2004,8,34200
2004,9,34200
2004,10,34200
2004,10,34200
2004,11,22800
2004,11,45600
2004,11,34200
2004,11,34200
2005,1,114000
2005,1,40000
2005,1,40000
2005,2,57000
2005,2,45600
2005,2,68400
2005,2,20000
2005,3,45600
2005,3,34200
2005,3,91200
2005,3,80000
2005,3,70000
2005,3,30000
2005,3,40000
2005,3,30000
2005,4,34200
2005,4,79800
2005,4,34200
2005,4,45600
2005,4,40000
2005,4,20000
2005,5,114000
2005,5,40000
2005,5,50000
2005,5,30000
2005,6,68400
2005,6,91200
2005,6,30000
2005,6,20000
2005,6,30000
2005,8,57000
2005,8,34200
2005,8,45600
2005,8,30000
2005,8,30000
2005,8,80000
2005,9,91200
2005,9,57000
2005,10,79800
2005,10,45600
2005,10,57000
2005,10,68400
2005,10,30000
2005,10,20000
2005,10,30000
2005,10,50000
2005,10,30000
2005,10,40000
2005,10,20000
2005,10,50000
2005,10,20000
2005,11,45600
2005,11,20000
2005,11,20000
2005,11,30000
2005,11,40000
2005,12,60000
2005,12,50000
2005,12,30000
2006,1,34200
2006,1,30000
2006,1,30000
2006,1,50000
2006,1,30000
2006,2,45600
2006,2,34200
2006,2,30000
2006,3,68400
2006,3,91200
2006,3,91200
2006,3,57000
2006,3,57000
2006,3,50000
2006,3,40000
2006,3,20000
2006,3,50000
2006,3,60000
2006,3,30000
2006,3,20000
2006,3,20000
2006,3,30000
2006,3,70000
2006,4,34200
2006,4,114000
2006,4,68400
2006,4,68400
2006,4,45600
2006,4,79800
2006,4,57000
2006,4,57000
2006,4,20000
2006,4,30000
2006,4,30000
2006,4,20000
2006,4,50000
2006,4,40000
2006,4,30000
2006,4,30000
2006,4,20000
2006,4,40000
2006,5,50000
2006,5,20000
2006,5,40000
2006,6,91200
2006,6,114000
2006,6,34200
2006,6,22800
2006,6,50000
2006,6,20000
2006,7,34200
2006,8,114000
2006,8,34200
2006,8,57000
2006,8,45600
2006,8,114000
2006,8,45600
2006,8,22800
2006,8,30000
2006,8,30000
2006,8,40000
2006,8,30000
2006,9,45600
2006,9,34200
2006,9,20000
2006,10,57000
2006,10,22800
2006,10,57000
2006,10,68400
2006,10,34200
2006,11,45600
2006,11,20000
2006,11,34200
2006,12,102600
2006,12,34200
2006,12,91200
2006,12,57000
2006,12,40000
2006,12,60000
2006,12,30000
2006,12,50000
2007,1,114000
2007,1,79800
2007,1,79800
2007,1,79800
2007,1,45600
2007,1,30000
2007,1,20000
2007,2,45600
2007,2,114000
2007,2,45600
2007,2,102600
2007,2,57000
2007,2,34200
2007,3,67500
2007,3,56250
2007,3,56250
2007,3,45000
2007,3,67500
2007,3,33750
2007,3,33750
2007,3,33750
2007,3,33750
2007,4,33750
2007,4,157500
2007,4,90000
2007,4,112500
2007,4,56250
2007,4,45000
2007,4,78750
2007,4,90000
2007,4,67500
2007,4,33750
2007,4,33750
2007,4,45000
2007,4,67500
2007,4,56250
2007,4,33750
2007,4,56250
2007,4,56250
2007,5,135000
2007,5,67500
2007,5,67500
2007,5,78750
2007,5,90000
2007,5,45000
2007,5,45000
2007,5,45000
2007,5,67500
2007,5,90000
2007,6,45000
2007,6,22500
2007,7,33750
2007,7,33750
2007,8,45000
2007,8,45000
2007,8,56250
2007,9,45000
2007,9,67500
2007,9,22500
2007,9,56250
2007,9,90000
2007,9,56250
2007,9,90000
2007,9,56250
2007,9,33750
2007,9,22500
2007,9,45000
2007,10,45000
2007,10,56250
2007,11,67500
2007,11,90000
2007,11,90000
2007,12,146250
2007,12,22500
2007,12,101250
2007,12,56250
2007,12,56250
2007,12,112500
2008,1,112500
2008,1,112500
2008,1,112500
2008,1,112500
2008,1,56250
2008,1,56250
2008,1,90000
2008,1,56250
2008,1,56250
2008,2,56250
2008,2,56250
2008,2,45000
2008,2,90000
2008,2,56250
2008,2,22500
2008,2,33750
2008,2,33750
2008,2,33750
2008,2,90000
2008,3,90000
2008,3,112500
2008,3,56250
2008,3,45000
2008,3,56250
2008,3,112500
2008,3,56250
2008,3,33750
2008,3,45000
2008,3,56250
2008,3,56250
2008,3,56250
2008,4,112500
2008,4,56250
2008,4,112500
2008,4,33750
2008,4,56250
2008,4,56250
2008,4,56250
2008,4,90000
2008,4,56250
2008,4,112500
2008,4,112500
2008,4,168750
2008,4,112500
2008,4,112500
2008,4,90000
2008,4,112500
2008,4,112500
2008,4,33750
2008,5,45000
2008,5,78750
2008,5,56250
2008,5,56250
2008,5,56250
2008,5,45000
2008,5,45000
2008,5,56250
2008,5,67500
2008,5,90000
2008,5,90000
2008,6,168750
2008,6,90000
2008,6,33750
2008,6,56250
2008,6,78750
2008,6,56250
2008,6,225000
2008,6,56250
2008,6,33750
2008,6,56250
2008,6,90000
2008,6,45000
2008,7,56250
2008,7,56250
2008,7,45000
2008,7,33750
2008,7,112500
2008,8,112500
2008,8,56250
2008,8,45000
2008,8,56250
2008,8,56250
2008,8,33750
2008,8,112500
2008,8,78750
2008,8,112500
2008,9,191250
2008,9,112500
2008,9,56250
2008,9,112500
2008,9,112500
2008,9,112500
2008,9,45000
2008,9,168750
2008,9,78750
2008,9,112500
2008,10,112500
2008,11,33750
2008,11,90000
2008,11,112500
2008,11,168750
2008,11,33750
2008,11,67500
2008,12,45000
2008,12,112500
2008,12,56250
2008,12,56250
2008,12,33750
2008,12,45000
2008,12,112500
2008,12,78750
2009,1,112500
2009,1,168750
2009,1,45000
2009,1,56250
2009,1,56250
2009,2,112500
2009,2,112500
2009,2,112500
2009,2,56250
2009,2,78750
2009,2,112500
2009,2,112500
2009,2,112500
2009,2,33750
2009,2,33750
2009,2,22500
2009,3,90000
2009,3,112500
2009,3,78750
2009,3,56250
2009,3,22500
2009,3,56250
2009,3,78750
2009,3,67500
2009,3,56250
2009,3,67500
2009,3,22500
2009,3,56250
2009,3,56250
2009,3,112500
2009,4,202500
2009,4,168750
2009,4,67500
2009,4,45000
2009,4,56250
2009,5,112500
2009,5,56250
2009,5,67500
2009,5,112500
2009,5,56250
2009,5,67500
2009,5,67500
2009,5,112500
2009,5,78750
2009,6,168750
2009,6,67500
2009,6,67500
2009,6,33750
2009,6,56250
2009,6,56250
2009,6,45000
2009,6,112500
2009,6,90000
2009,6,112500
2009,6,22500
2009,6,67500
2009,6,112500
2009,6,90000
2009,7,67500
2009,7,78750
2009,7,56250
2009,8,112500
2009,8,56250
2009,8,56250
2009,8,33750
2009,8,67500
2009,8,45000
2009,8,67500
2009,8,101250
2009,8,67500
2009,9,112500
2009,9,112500
2009,9,56250
2009,10,112500
2009,10,112500
2009,10,112500
2009,11,45000
2009,11,101250
2009,11,56250
2009,11,56250
2009,11,45000
2009,11,112500
2009,11,101250
2009,11,56250
2009,12,168750
2009,12,56250
2009,12,67500
2009,12,112500
2009,12,67500
2009,12,78750
2010,1,56250
2010,1,112500
2010,1,45000
2010,1,112500
2010,1,56250
2010,1,112500
2010,1,112500
2010,1,67500
2010,1,56250
2010,1,67500
2010,1,67500
2010,1,67500
2010,2,67500
2010,2,67500
2010,2,112500
2010,2,56250
2010,2,67500
2010,2,112500
2010,2,112500
2010,2,112500
2010,2,112500
2010,2,112500
2010,3,112500
2010,3,56250
2010,3,90000
2010,3,112500
2010,3,67500
2010,3,90000
2010,3,112500
2010,3,112500
2010,3,33750
2010,3,33750
